What is your gender identity?,What is your race/ethnicity?,What was the highest mathematics course that you took before your current Calculus I course?,Pick the field that is closest to what you want to do after graduating. Select all that apply.,Do you plan to take Calculus II?,"If you answered no or maybe, why not?"
Agender (don't identify as any gender),Asian/Asian American (non-Hispanic/Latinx),Other:,Social services,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Visual arts,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Hispanic/Latinx,Other:,Earth and/or space science,No,I changed my major and now do not need to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Hispanic/Latinx,Algebra 2 or College Algebra,Engineering/architecture,No,My grade in Calculus I was not good enough to continue to Calculus II.
Intersex (have a combination of male and female biological traits),2 or more races,Algebra 2 or College Algebra,Social services,Yes,n/a - I am taking Calculus II.
Other:,Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Law/government,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
"""Cis-gender man (male at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Education,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,Algebra 2 or College Algebra,Philosophy,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Engineering/architecture,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender man (female at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Other:,Biology,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Social services,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Transgender man (female at birth, identify as a man)""",Hispanic/Latinx,AP Calculus AB or equivalent,Philosophy,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Other:,Algebra 2 or College Algebra,Performing arts,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Philosophy,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Law/government,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Business/finance,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus BC or equivalent,Visual arts,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,AP Calculus AB or equivalent,Visual arts,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,No,My grade in Calculus I was not good enough to continue to Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,Algebra 2 or College Algebra,Computer Science/technology,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,English/communication,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Business/finance,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Engineering/architecture,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Other:,Algebra 2 or College Algebra,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Hispanic/Latinx,AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
Other:,Hispanic/Latinx,AP Calculus AB or equivalent,Education,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Other:,AP Calculus BC or equivalent,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,AP Calculus BC or equivalent,Modern language,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),2 or more races,Pre-calculus or Trigonometry,Education,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Medicine/health,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Other:,English/communication,No,I changed my major and now do not need to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Physics,Yes,n/a - I am taking Calculus II.
Other:,Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Mathematics,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),2 or more races,AP Calculus AB or equivalent,Earth and/or space science,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Hispanic/Latinx,Pre-calculus or Trigonometry,Earth and/or space science,Yes,n/a - I am taking Calculus II.
Other:,Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Chemistry,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Performing arts,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
Gender fluid (gender identity and/or expression varies over time),Other:,Pre-calculus or Trigonometry,Biology,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Social sciences,Yes,n/a - I am taking Calculus II.
Other:,Other:,AP Calculus BC or equivalent,Engineering/architecture,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Computer Science/technology,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Other:,AP Calculus AB or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Earth and/or space science,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Modern language,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender man (female at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus BC or equivalent,Philosophy,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Education,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Other:,Other:,Engineering/architecture,No,Other:
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,Biology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Law/government,No,My grade in Calculus I was not good enough to continue to Calculus II.
Other:,Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Medicine/health,Yes,n/a - I am taking Calculus II.
Other:,Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social services,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Physics,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Other:,Other:,Philosophy,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,English/communication,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Modern language,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Economics,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus AB or equivalent,Environmental science/studies,No,Other:
"""Transgender man (female at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social services,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
Other:,2 or more races,Algebra 2 or College Algebra,Performing arts,No,My experience in Calculus I made me decide not to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social services,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Other:,Pre-calculus or Trigonometry,Chemistry,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
"""Cis-gender man (male at birth, identify as a man)""",Other:,Algebra 2 or College Algebra,Visual arts,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),2 or more races,Algebra 2 or College Algebra,Earth and/or space science,Yes,n/a - I am taking Calculus II.
Other:,White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Law/government,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Environmental science/studies,Yes,n/a - I am taking Calculus II.
Other:,Other:,Pre-calculus or Trigonometry,Economics,No,My grade in Calculus I was not good enough to continue to Calculus II.
Other:,Other:,AP Calculus AB or equivalent,Computer Science/technology,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Law/government,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Other:,Algebra 2 or College Algebra,Law/government,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Biology,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,Pre-calculus or Trigonometry,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,No,It is not required for my major / I have toomany other courses that I need to complete.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Visual arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,Other:,Chemistry,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Philosophy,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Law/government,No,My grade in Calculus I was not good enough to continue to Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Economics,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Other:,Business/finance,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Algebra 2 or College Algebra,Law/government,Yes,n/a - I am taking Calculus II.
Other:,Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),2 or more races,AP Calculus BC or equivalent,Education,Yes,n/a - I am taking Calculus II.
Other:,Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Other:,Philosophy,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Hispanic/Latinx,Pre-calculus or Trigonometry,Business/finance,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Philosophy,Yes,n/a - I am taking Calculus II.
Other:,Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Engineering/architecture,No,Other:
Agender (don't identify as any gender),Other:,AP Calculus AB or equivalent,Biology,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Economics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Performing arts,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Other:,AP Calculus AB or equivalent,Medicine/health,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Education,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),2 or more races,Other:,Performing arts,No,Other:
Agender (don't identify as any gender),Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Environmental science/studies,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
"""Cis-gender woman (female at birth, identify as a woman)""",2 or more races,Other:,Education,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Social services,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social services,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Algebra 2 or College Algebra,Environmental science/studies,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,Other:,Economics,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),2 or more races,Other:,Visual arts,Yes,n/a - I am taking Calculus II.
Other:,White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Physics,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Visual arts,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Hispanic/Latinx,Algebra 2 or College Algebra,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,Physics,No,Other:
Other:,Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Earth and/or space science,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),2 or more races,Other:,Biology,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",2 or more races,AP Calculus AB or equivalent,Mathematics,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus BC or equivalent,Engineering/architecture,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Social sciences,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Other:,Modern language,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,AP Calculus AB or equivalent,Economics,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Mathematics,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Medicine/health,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),2 or more races,Algebra 2 or College Algebra,Chemistry,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Other:,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",2 or more races,AP Calculus BC or equivalent,Social services,Yes,n/a - I am taking Calculus II.
Other:,Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Computer Science/technology,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Chemistry,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Other:,Other:,Physics,No,My experience in Calculus I made me decide not to take Calculus II.
Other:,Other:,Other:,Business/finance,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),Other:,Business/finance,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,Physics,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),Other:,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",2 or more races,AP Calculus AB or equivalent,Physics,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
Intersex (have a combination of male and female biological traits),Other:,Other:,Mathematics,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Law/government,No,My experience in Calculus I made me decide not to take Calculus II.
Other:,Black/African American (non-Hispanic/Latinx),Other:,Physics,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),2 or more races,AP Calculus AB or equivalent,Modern language,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus BC or equivalent,Physics,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Hispanic/Latinx,Algebra 2 or College Algebra,Modern language,No,My experience in Calculus I made me decide not to take Calculus II.
Intersex (have a combination of male and female biological traits),Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Engineering/architecture,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),2 or more races,Algebra 2 or College Algebra,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Modern language,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",2 or more races,AP Calculus BC or equivalent,Business/finance,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Physics,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Visual arts,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,Pre-calculus or Trigonometry,Philosophy,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Computer Science/technology,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Black/African American (non-Hispanic/Latinx),Other:,Modern language,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Social sciences,No,"To do well in Calculus II, I would need to spend more timeand effort than I can afford."
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,Social sciences,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Earth and/or space science,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Philosophy,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,Other:,Social sciences,No,It is not required for my major / I have toomany other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Other:,Social sciences,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),Other:,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Engineering/architecture,No,I changed my major and now do not need to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Asian/Asian American (non-Hispanic/Latinx),Other:,Philosophy,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),2 or more races,Algebra 2 or College Algebra,Education,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Engineering/architecture,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Computer Science/technology,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,Other:,Visual arts,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Hispanic/Latinx,Algebra 2 or College Algebra,Economics,No,It is not required for my major / I have toomany other courses that I need to complete.
Intersex (have a combination of male and female biological traits),Other:,Pre-calculus or Trigonometry,Law/government,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Environmental science/studies,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),2 or more races,Pre-calculus or Trigonometry,Law/government,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Environmental science/studies,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Other:,AP Calculus AB or equivalent,Chemistry,Yes,n/a - I am taking Calculus II.
Other:,2 or more races,Pre-calculus or Trigonometry,Business/finance,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Other:,Environmental science/studies,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Earth and/or space science,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Black/African American (non-Hispanic/Latinx),Other:,Computer Science/technology,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Algebra 2 or College Algebra,Education,No,Other:
"""Cis-gender man (male at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Modern language,Yes,n/a - I am taking Calculus II.
Other:,Hispanic/Latinx,AP Calculus BC or equivalent,Physics,Yes,n/a - I am taking Calculus II.
